angular.js (1970-01-01 - 2018-01-01),atom (2011-08-18 - 2018-01-01),bootstrap (2011-04-27 - 2018-01-01),cassandra (2009-03-02 - 2018-01-01),clojurescript (2011-06-02 - 2018-01-01),electron (2013-03-13 - 2018-01-01),freebsd (1993-06-12 - 2018-01-01),git (2005-04-07 - 2018-01-01),go (1972-07-18 - 2018-01-01),jquery (2006-03-22 - 2018-01-01),Leaflet (2010-09-01 - 2018-01-01),linux (2005-04-16 - 2018-01-01),llvm (2001-06-06 - 2018-01-01),node (2009-02-16 - 2018-01-01),opencv (2010-05-11 - 2018-01-01),rails (2004-11-24 - 2018-01-01),react (2013-05-29 - 2018-01-01),react-native (2015-01-29 - 2018-01-01),swift (2010-07-17 - 2018-01-01),tensorflow (2015-11-06 - 2018-01-01),vscode (2015-11-13 - 2018-01-01),
0,18,31,26,7,,59,39,0,6,17,790,18,19,37,75,,,81,,,
0,20,9,23,6,,63,25,0,7,13,672,18,51,28,75,,,74,,,
0,17,22,30,5,,73,39,0,10,15,832,19,54,36,84,,,79,,,
0,21,16,17,10,,66,47,0,10,14,804,17,63,30,69,,,81,,,
0,28,17,39,18,,64,44,0,18,20,653,19,47,30,60,,,96,,,
0,24,13,29,10,,69,34,0,14,16,862,23,43,34,45,,,76,,,
0,23,16,31,6,,73,26,0,19,19,737,24,37,42,98,,,74,,,
0,19,63,31,10,,67,38,0,15,14,769,20,44,43,59,,,69,,,
0,,34,28,2,,75,41,0,13,11,645,23,35,31,65,,,68,,,
0,,48,36,6,,75,44,0,11,18,653,27,37,38,131,,,82,,,
0,,24,31,,,79,48,0,28,16,801,25,49,32,125,,,78,,,
0,,11,38,,,79,27,0,13,16,759,19,64,36,102,,,70,,,
0,,,37,,,77,31,0,15,17,728,28,66,32,102,,,67,,,
0,,,39,,,92,30,0,15,15,720,30,71,38,103,,,74,,,
0,,,38,,,80,53,0,13,18,799,28,58,37,84,,,70,,,
0,,,32,,,76,44,0,13,21,861,33,69,37,87,,,71,,,
0,,,36,,,87,44,0,13,13,876,27,74,39,105,,,69,,,
0,,,37,,,90,35,0,10,17,795,22,69,38,100,,,70,,,
0,,,35,,,81,47,0,9,17,730,28,82,35,122,,,84,,,
0,,,33,,,86,37,0,7,10,819,29,70,36,124,,,78,,,
0,,,36,,,104,38,0,8,,790,37,62,57,117,,,73,,,
